Variable,Category,LAI Improvers,Chronically Adherent,Early Dropouts,Moderate Improvers,p-value
Sex,0,222 (69.2%),230 (72.1%),129 (69.0%),129 (65.2%),0.426
Sex,1,99 (30.8%),89 (27.9%),58 (31.0%),69 (34.8%),
Age range,15 - 19,0 (0.0%),2 (0.6%),1 (0.5%),0 (0.0%),0.016
Age range,20 - 24,27 (8.4%),19 (6.0%),16 (8.6%),7 (3.5%),
Age range,25 - 29,45 (14.0%),14 (4.4%),27 (14.4%),22 (11.1%),
Age range,30 - 34,38 (11.8%),32 (10.0%),27 (14.4%),25 (12.6%),
Age range,35 - 39,55 (17.1%),41 (12.9%),17 (9.1%),27 (13.6%),
Age range,40 - 44,47 (14.6%),52 (16.3%),29 (15.5%),33 (16.7%),
Age range,45 - 49,33 (10.3%),50 (15.7%),20 (10.7%),29 (14.6%),
Age range,50 - 54,27 (8.4%),46 (14.4%),13 (7.0%),20 (10.1%),
Age range,55 - 59,18 (5.6%),26 (8.2%),15 (8.0%),12 (6.1%),
Age range,60 - 64,12 (3.7%),15 (4.7%),7 (3.7%),11 (5.6%),
Age range,65 - 69,6 (1.9%),13 (4.1%),4 (2.1%),4 (2.0%),
Age range,70 - 74,7 (2.2%),5 (1.6%),4 (2.1%),6 (3.0%),
Age range,75 - 79,4 (1.2%),3 (0.9%),4 (2.1%),2 (1.0%),
Age range,80 - 84,1 (0.3%),1 (0.3%),1 (0.5%),0 (0.0%),
Age range,85 - 89,1 (0.3%),0 (0.0%),2 (1.1%),0 (0.0%),
Socioeconomic level,1. Exempts,147 (45.8%),163 (51.1%),81 (43.3%),92 (46.5%),0.289
Socioeconomic level,2. < 18.000,154 (48.0%),145 (45.5%),101 (54.0%),101 (51.0%),
Socioeconomic level,3. 18.001 - 100.000,18 (5.6%),10 (3.1%),5 (2.7%),5 (2.5%),
Socioeconomic level,4. > 100.000,2 (0.6%),1 (0.3%),0 (0.0%),0 (0.0%),
Oral type,aripiprazole,78 (24.3%),85 (26.6%),45 (24.1%),60 (30.3%),0.000
Oral type,clozapine,4 (1.2%),14 (4.4%),2 (1.1%),3 (1.5%),
Oral type,haloperidol,5 (1.6%),12 (3.8%),6 (3.2%),8 (4.0%),
Oral type,olanzapine,42 (13.1%),59 (18.5%),20 (10.7%),37 (18.7%),
Oral type,other,91 (28.3%),36 (11.3%),47 (25.1%),30 (15.2%),
Oral type,paliperidone,26 (8.1%),45 (14.1%),13 (7.0%),18 (9.1%),
Oral type,quetiapine,19 (5.9%),21 (6.6%),14 (7.5%),10 (5.1%),
Oral type,risperidone,56 (17.4%),47 (14.7%),40 (21.4%),32 (16.2%),
LAI type,olanzapine,1 (0.3%),4 (1.3%),3 (1.6%),5 (2.5%),0.295
LAI type,other,23 (7.2%),26 (8.2%),18 (9.6%),16 (8.1%),
Switch year,2015,116 (36.1%),133 (41.7%),71 (38.0%),70 (35.4%),0.156
Switch year,2016,118 (36.8%),91 (28.5%),51 (27.3%),63 (31.8%),
Switch year,2017,87 (27.1%),95 (29.8%),65 (34.8%),65 (32.8%),
Pre-switch outpatient visits,Median (IQR),0.0 (0.0–3.0),0.0 (0.0–0.0),0.0 (0.0–2.0),0.0 (0.0–0.8),0.000
Pre-switch hospitalizations,Median (IQR),0.0 (0.0–0.0),0.0 (0.0–0.0),0.0 (0.0–0.0),0.0 (0.0–0.0),n/a
Pre-switch emergency visits,Median (IQR),0.0 (0.0–0.0),0.0 (0.0–0.0),0.0 (0.0–0.0),0.0 (0.0–0.0),n/a
Antipsychotic polypharmacy (n ATC),Median (IQR),2.0 (2.0–3.0),3.0 (2.0–4.0),3.0 (2.0–3.0),3.0 (2.0–4.0),0.000
