,Cluster 0 — LAI Improvers,Cluster 1 — Chronically Adherent,Cluster 2 — Early Dropouts,Cluster 3 — Moderate Improvers
N,321,319,187,198
Male (%),30.8%,27.9%,31.0%,34.8%
Median age range,35 - 39,40 - 44,40 - 44,40 - 44
NIVSOC 1. Exempts,147 (45.8%),163 (51.1%),81 (43.3%),92 (46.5%)
NIVSOC 2. < 18.000,154 (48.0%),145 (45.5%),101 (54.0%),101 (51.0%)
NIVSOC 3. 18.001 - 100.000,18 (5.6%),10 (3.1%),5 (2.7%),5 (2.5%)
NIVSOC 4. > 100.000,2 (0.6%),1 (0.3%),0 (0.0%),0 (0.0%)
Never smoker (%),27.2%,19.9%,38.4%,20.8%
Current smoker (%),72.4%,80.1%,60.9%,79.2%
Ex-smoker (%),0.4%,0.0%,0.7%,0.0%
Main oral type,aripiprazole,aripiprazole,aripiprazole,aripiprazole
Main LAI type,paliperidone,paliperidone,paliperidone,paliperidone
Main switch year,2016,2015,2015,2015
Antipsychotic polypharmacy,2.0 (2.0–3.0),3.0 (2.0–4.0),3.0 (2.0–3.0),3.0 (2.0–4.0)
