Variable,Category,n (%)
Sex,0,222 (69.2%)
Sex,1,99 (30.8%)
Age range,15 - 19,0 (0.0%)
Age range,20 - 24,27 (8.4%)
Age range,25 - 29,45 (14.0%)
Age range,30 - 34,38 (11.8%)
Age range,35 - 39,55 (17.1%)
Age range,40 - 44,47 (14.6%)
Age range,45 - 49,33 (10.3%)
Age range,50 - 54,27 (8.4%)
Age range,55 - 59,18 (5.6%)
Age range,60 - 64,12 (3.7%)
Age range,65 - 69,6 (1.9%)
Age range,70 - 74,7 (2.2%)
Age range,75 - 79,4 (1.2%)
Age range,80 - 84,1 (0.3%)
Age range,85 - 89,1 (0.3%)
Socioeconomic level,1. Exempts,147 (45.8%)
Socioeconomic level,2. < 18.000,154 (48.0%)
Socioeconomic level,3. 18.001 - 100.000,18 (5.6%)
Socioeconomic level,4. > 100.000,2 (0.6%)
Oral type,aripiprazole,78 (24.3%)
Oral type,clozapine,4 (1.2%)
Oral type,haloperidol,5 (1.6%)
Oral type,olanzapine,42 (13.1%)
Oral type,other,91 (28.3%)
Oral type,paliperidone,26 (8.1%)
Oral type,quetiapine,19 (5.9%)
Oral type,risperidone,56 (17.4%)
LAI type,olanzapine,1 (0.3%)
LAI type,other,23 (7.2%)
Switch year,2015,116 (36.1%)
Switch year,2016,118 (36.8%)
Switch year,2017,87 (27.1%)
Pre-switch outpatient visits,Median (IQR),0.0 (0.0–3.0)
Pre-switch hospitalizations,Median (IQR),0.0 (0.0–0.0)
Pre-switch emergency visits,Median (IQR),0.0 (0.0–0.0)
Antipsychotic polypharmacy (n ATC),Median (IQR),2.0 (2.0–3.0)
