Variable,Category,n (%)
Sex,0,230 (72.1%)
Sex,1,89 (27.9%)
Age range,15 - 19,2 (0.6%)
Age range,20 - 24,19 (6.0%)
Age range,25 - 29,14 (4.4%)
Age range,30 - 34,32 (10.0%)
Age range,35 - 39,41 (12.9%)
Age range,40 - 44,52 (16.3%)
Age range,45 - 49,50 (15.7%)
Age range,50 - 54,46 (14.4%)
Age range,55 - 59,26 (8.2%)
Age range,60 - 64,15 (4.7%)
Age range,65 - 69,13 (4.1%)
Age range,70 - 74,5 (1.6%)
Age range,75 - 79,3 (0.9%)
Age range,80 - 84,1 (0.3%)
Age range,85 - 89,0 (0.0%)
Socioeconomic level,1. Exempts,163 (51.1%)
Socioeconomic level,2. < 18.000,145 (45.5%)
Socioeconomic level,3. 18.001 - 100.000,10 (3.1%)
Socioeconomic level,4. > 100.000,1 (0.3%)
Oral type,aripiprazole,85 (26.6%)
Oral type,clozapine,14 (4.4%)
Oral type,haloperidol,12 (3.8%)
Oral type,olanzapine,59 (18.5%)
Oral type,other,36 (11.3%)
Oral type,paliperidone,45 (14.1%)
Oral type,quetiapine,21 (6.6%)
Oral type,risperidone,47 (14.7%)
LAI type,olanzapine,4 (1.3%)
LAI type,other,26 (8.2%)
Switch year,2015,133 (41.7%)
Switch year,2016,91 (28.5%)
Switch year,2017,95 (29.8%)
Pre-switch outpatient visits,Median (IQR),0.0 (0.0–0.0)
Pre-switch hospitalizations,Median (IQR),0.0 (0.0–0.0)
Pre-switch emergency visits,Median (IQR),0.0 (0.0–0.0)
Antipsychotic polypharmacy (n ATC),Median (IQR),3.0 (2.0–4.0)
