Variable,Category,n (%)
Sex,0,129 (69.0%)
Sex,1,58 (31.0%)
Age range,15 - 19,1 (0.5%)
Age range,20 - 24,16 (8.6%)
Age range,25 - 29,27 (14.4%)
Age range,30 - 34,27 (14.4%)
Age range,35 - 39,17 (9.1%)
Age range,40 - 44,29 (15.5%)
Age range,45 - 49,20 (10.7%)
Age range,50 - 54,13 (7.0%)
Age range,55 - 59,15 (8.0%)
Age range,60 - 64,7 (3.7%)
Age range,65 - 69,4 (2.1%)
Age range,70 - 74,4 (2.1%)
Age range,75 - 79,4 (2.1%)
Age range,80 - 84,1 (0.5%)
Age range,85 - 89,2 (1.1%)
Socioeconomic level,1. Exempts,81 (43.3%)
Socioeconomic level,2. < 18.000,101 (54.0%)
Socioeconomic level,3. 18.001 - 100.000,5 (2.7%)
Socioeconomic level,4. > 100.000,0 (0.0%)
Oral type,aripiprazole,45 (24.1%)
Oral type,clozapine,2 (1.1%)
Oral type,haloperidol,6 (3.2%)
Oral type,olanzapine,20 (10.7%)
Oral type,other,47 (25.1%)
Oral type,paliperidone,13 (7.0%)
Oral type,quetiapine,14 (7.5%)
Oral type,risperidone,40 (21.4%)
LAI type,olanzapine,3 (1.6%)
LAI type,other,18 (9.6%)
Switch year,2015,71 (38.0%)
Switch year,2016,51 (27.3%)
Switch year,2017,65 (34.8%)
Pre-switch outpatient visits,Median (IQR),0.0 (0.0–2.0)
Pre-switch hospitalizations,Median (IQR),0.0 (0.0–0.0)
Pre-switch emergency visits,Median (IQR),0.0 (0.0–0.0)
Antipsychotic polypharmacy (n ATC),Median (IQR),3.0 (2.0–3.0)
