Variable,Category,n (%)
Sex,0,129 (65.2%)
Sex,1,69 (34.8%)
Age range,15 - 19,0 (0.0%)
Age range,20 - 24,7 (3.5%)
Age range,25 - 29,22 (11.1%)
Age range,30 - 34,25 (12.6%)
Age range,35 - 39,27 (13.6%)
Age range,40 - 44,33 (16.7%)
Age range,45 - 49,29 (14.6%)
Age range,50 - 54,20 (10.1%)
Age range,55 - 59,12 (6.1%)
Age range,60 - 64,11 (5.6%)
Age range,65 - 69,4 (2.0%)
Age range,70 - 74,6 (3.0%)
Age range,75 - 79,2 (1.0%)
Age range,80 - 84,0 (0.0%)
Age range,85 - 89,0 (0.0%)
Socioeconomic level,1. Exempts,92 (46.5%)
Socioeconomic level,2. < 18.000,101 (51.0%)
Socioeconomic level,3. 18.001 - 100.000,5 (2.5%)
Socioeconomic level,4. > 100.000,0 (0.0%)
Oral type,aripiprazole,60 (30.3%)
Oral type,clozapine,3 (1.5%)
Oral type,haloperidol,8 (4.0%)
Oral type,olanzapine,37 (18.7%)
Oral type,other,30 (15.2%)
Oral type,paliperidone,18 (9.1%)
Oral type,quetiapine,10 (5.1%)
Oral type,risperidone,32 (16.2%)
LAI type,olanzapine,5 (2.5%)
LAI type,other,16 (8.1%)
Switch year,2015,70 (35.4%)
Switch year,2016,63 (31.8%)
Switch year,2017,65 (32.8%)
Pre-switch outpatient visits,Median (IQR),0.0 (0.0–0.8)
Pre-switch hospitalizations,Median (IQR),0.0 (0.0–0.0)
Pre-switch emergency visits,Median (IQR),0.0 (0.0–0.0)
Antipsychotic polypharmacy (n ATC),Median (IQR),3.0 (2.0–4.0)
